0000000000535665  0000000000535666
000000000f68592c  0000000000835bb8
000000000f84ee54  00000000009ff0d0
00000000132d6a67  0000000000ba41cf
000000001347328b  0000000000d409f3
0000000013642d6b  0000000000f104d3
000000001380d495  00000000010dabfd
000000001397a678  0000000001247dba
000000001ad6b749  00000000013e2de5
000000001af0f12b  00000000015867ed
000000001b0da42b  0000000001751aed
